,clean_text,label
122,jesus who can live amongst dead rats  disgusting retch,2
125,hearing the mississippi senate passed a similar bill to that disgraceful az one disgusting,2
126,these antigay laws are making me not even want to go to arizona for march break tbh disgusting,2
127,why do people cut  file their nails on the bus and why us it always an older chinese woman notracist observation sfmuni disgusting,2
129,unattractive couples please keep your overthetoppda to a minimum  or just stop all together gross disgusting notwhileimeating,2
130,who the fuck goes as far as talking about someones family pathetic disgusting waste arrogantasshole,2
131,who steals there friends phone hahaha disgusting,2
132,dasani water is pool water in a bottle disgusting,2
135,numberth child birth in the show good lord canyounot disgusting,2
136,you are the shittiest type of person if you make fun of people with special needs disgusting nowords,2
141,you deserve someone like that disgusting,2
142,ladies when you wear a dress keep your legs shut even if you arent a lady act like one disgusting sonotclassy comeonnow ew,2
143,almond soy milk is from satan disgusting,2
144,waiting for my bus and this girl legit spat right next to me even warmed up before she spat it wannavom disgusting,2
146,user actually just gave the kid in front of her a wet willy disgusting,2
148,my fictional piece of coursework is quite soppy disgusting ew,2
149,thanks meal hall for treating us like peasants and feeding us good out of the garbage disgusting givemerealfood,2
152,if youre gonna take an upclose selfie pls pls pls make sure your lips arent fuckin chapped disgusting,2
153,it should be illegal to quote a selfie on instagram with talk dirty to me disgusting,2
154,eww what is your obsession with guys who could be your father you think old men are sexy disgusting sicko gross perv eww whore,2
157,that hoe put mayonnaise on her fries disgusting,2
158,vertonghen you fucking scumbag disgusting,2
162,one thing spurs embarrassing english football clubs with their poo pance side but going down like user in the box disgusting,2
163,where has the respect for your opponent gone disgusting,2
165,blows my mind that people spend their last dollar on cigarets   disgusting,2
167,i feel like i have to many morals compared to all these girls  disgusting,2
171,i have serena hair today disgusting,2
173,just seen the nastiest closure piece ever  i thought the lady scalp was peeling  ugh disgusting,2
175,spurs have robbed this team disgusting europaleague,2
176,some people have no respect for others disgusting,2
179,i hate gays who posts gay shit photos disgusting,2
180,south london is literally a dump this evening burstwatermain sewage dirt disgusting,2
188,user did you really just show and advert of an actual woman giving birth you sick fucks i was eating food disgusting,2
189,ross kemp extreme world disgusting,2
190,its pretty bad when someone smells so much like cigarettes it gives you a headache disgusting,2
191,user you have no right to offend a religion or its values in the name of freedom of expression and art darkhorse disgusting,2
192,my five wives really  why would you make a show out of that notright disgusting,2
193,i just saw a dude kiss one of the poles on the metro train you officially have the dirtiest mouth in all of dc champ disgusting smh,2
194,gross user is following me on twitter disgusting shesgunnabeatmeupbecauseimsupposedtobeworkingonapaper,2
196,why do some people when they eat crisps have to put all of their fingers in their mouth disgusting,2
197,why do some guys think long and thick beards look good on them disgusting whatthefuckisonyourface sorrynotsorry,2
198,i hate cockroaches disgusting,2
200,youre pathetic honestly have nothing better to do with your life than make fun of other people lol  lowlife growup disgusting,2
201,having chicken and mushroom soup to try and make myself better just a shame i had cardboard for bread with it disgusting,2
204,to be pregnant and bisexual as a teenager must be a trend disgusting,2
206,noisy eaters should be dumped into a very deep hole disgusting,2
213,went into the guys locker room today wont be making that mistake again  disgusting,2
214,my instagram followers are all ghost  dislike,2
216,nobody ever gave buster a hard time for being a retard on arthur but they all go on about arthurs weight issues disgusting,2
217,dinner conversation at my parents tonight is my sisters experiences in nursing school clinicals disgusting pleasestoptalking,2
219,it is beyond irritating that people dont get the concept of flushing disgusting,2
222,need a sledgehammer to get some girls make up off disgusting,2
223,between the tropicana rat story and last weeks safeway oj mystery meat i dont think ill ever drink orange juice again disgusting,2
224,have you noticed us has no problem using neonazis and jihadis to accomplish its foreign policy goals disgusting,2
225,dunno how lasses can sleep around get pregnant and not know who the dad is disgusting,2
226,can you not pop your back and shoulder pimples at swim practice disgusting,2
227,chew with your mouth closed disgusting,2
231,never ever buy a pepperoni chicken and cheese sandwich from user disgusting,2
232,n there was no water wat type of shit is this o well ill use the water in the mens room disgusting,2
233,i hate sitting right next to someone who only takes a shower one or two times a week disgusting,2
234,who wants to open a store in arizona that will refuse sales to any bigot  racist or homophobe  see how they feel  nohnumber disgusting,2
235,uganda president yoweri museveni passed an antigay bill that threaten gays with life in prison it undemines basic human rights disgusting,2
236,dude no stop disgusting ugly stop,2
237,indianapolis you look boring dislike,2
238,user god damn dibble dabble just busted a deuce and left bathroom without flush or hand wash disgusting,2
240,first aaron hernandez now darren sharpernfl doublelife disgusting,2
241,yeah i dont think ranch is suppose to be chunky disgusting,2
245,just heard my neighbor burp from across the street and two houses down disgusting,2
246,is there not a hot fudge sundae delivery service dislike,2
247,number pet peeve bad table manners disgusting,2
249,and im sure comedians actually make jokes about it in real life too disgusting,2
250,its called a tissue use one i dont feel like listening to you suck up your snot for hours disgusting awfulsounds,2
251,on long island only number cents to every dollar went to x charity the donation was made for disgusting  scamartists,2
253,murder an autistic man with a single punch gets number years in jail out in number what a joke scum disgusting rip andrewyoung nojustice,2
255,sky news im fucking sick of watching this numberyr old girl give birth and asking to give number just stop them having kids full stop  disgusting,2
257,these norcos are burning my tummy dislike,2
259,racism doesnt come naturally its a learnt behaviourso what were the parents of those tramps on the gold coast teaching them disgusting,2
260,all the rehabilitation you have done means nothing when you abuse your own animals user animalabuse seaworld disgusting,2
262,this stupid polar vortex has contributed to my dogs addiction of poopcicles  puglife disgusting gag,2
264,i cant wait till those teenage girls get what they deserve for the attack on an elderly indigenous man disgusting,2
265,ive been to the library more times this semester than i have my whole college career dislike,2
267,user user was tricked with an offer for atiffany gift then asked to download a hockey app only to free shipping dislike,2
268,alright juan pablo just tongue with every girl you take out disgusting thebachelor,2
271,i hate ranch disgusting,2
272,why did a commercial just say the world needs more airheads so they want more stupid people weve got enough of those ugh disgust,2
274,there is actually nothing i hate more in this world than broccoli disgusting,2
275,i just took a snap vid of me brushing my teeth and then i realized i was using my sisters toothbrush ugh disgusting,2
276,no i will not eat asparagus mom you cant make me disgusting,2
278,how many men have fucking ponytails in this city good god get a fucking haircut cousinfuckers disgusting,2
279,my little cousin just ate number hotdogs hes not even dead yet disgusting how,2
280,whoever came up with the idea to put bread crumbs on top of mac cheese needs to be shanked seriously disgusting,2
281,my roommates food smells like vomit disgusting,2
283,stefan spent days with fake elena he didnt even noticed it wasnt her all he noticed was her vagina se is nothing but sex disgusting,2
286,i like you you do whatever i say aaaaaaaand theres the essence of ghost i fucking hate him couplestherapy disgusting,2
289,i am so frustrated right now its incredible i have never seen a team that deserved to lose as badly as ohio state tonight disgusting,2
290,being desperate is definitely one of the most unattractive traits disgusting giveitup,2
291,thats what i get for buying budget whey myfault disgusting,2
292,ffs mapleleafs  fucking giveaways disgusting,2
293,i ate user bell today for the numberst time in several yearsit made me sick itll be another decade bnumber i do that again disgusting,2
294,if you do drugs i literally think so low of you disgusting,2
295,why would you even retweet that disgusting,2
297,i despise the halooranges commercial why would there be a commercial with a child talking to their parents like that disgusting,2
298,funna post the funniest video of lauren on ig justwaitonit  hiddenclip rare disgusting,2
300,we are all tough shit until we gotta clean up a dead cockroach disgusting,2
301,user are disgusting,2
302,that one girl that thinks its cute to fuck everyones boyfriend norespect disgusting homewrecker,2
303,i might be obsessing about the eos smooth spheres im missing why dislike,2
304,user makes me want to throwup disrespectful disgusting pathetic,2
305,i hope qld police do something right this week like arrest those two feral drunk girlss who beat an elderly indigenous man disgusting,2
306,glad you got up and personal with your coach disgusting thoughtyouwereles,2
307,usually i say excuse me before squeezing behind a customer but you just farted so you should be the one saying it disgusting yack,2
308,user just played roulette mouldy cheese and skunk spray disgusting,2
310,user  heartless customer service number a friend who parent passed away number week bnumber her vaca wouldnt reimburse her at all disgusting,2
312,user i hate it when i get low and the only thing i have in my bag is glucose tablets disgusting,2
313,people keep hitting skunks in front of my house the whole place currently smells like skunk  disgusting,2
315,still trying to stomach the documentary on abu ghraib i watched in class not your shining moment america disgusting,2
316,you are such a fake group of people and i cant even deal with it you like each other just for show unbelievable disgusting,2
318,saw this freshman today she had the biggest hickey on her neck she wasnt even trying to hide it her hair was in a pony tail disgusting,2
322,justin biebers reaching katy perrys follower count  disgusting,2
324,cats lost which means user wont be barkoving in his next video dislike,2
329,dont get vanilla protein disgusting,2
330,i honestly hate arnold palmer disgusting,2
331,so these two pathetically low ppl stole the car of that family of number who died in the house fire disgusting,2
333,sweet cthulhu this beer has a ginormous cayenne after burn ugh notbalanced dislike,2
334,you cant expect a girl to show respect to someone when she doesnt even have respect for herself disgusting,2
337,what in the world possessed me to google image search cat scratch fever disgusting,2
338,fuck the kid who hit my best friend your scuuuuuum on the bottom of my shoe disgusting,2
341,when facebook tells on you smile yeah i like that too disgusting,2
342,wow liamneeson just revealed that he never got condolence card or anything from user in canada where his wife died disgusting,2
343,coming home from uni tired and hungry and thought i would get user what did i get hard old refried food disgusting neveragain,2
344,i shoved a straw up chanices nose and then she shoved it in my mouth disgusting,2
346,thatawkwardmoment when you come out of a restaurant and your car window has been spit on mucus and all disgusting,2
351,sherlockpoop are they trying to investigate who actually left poop in the toilet and everyone is looking at it eww disgusting,2
355,i just ate an entire quart of ice cream why must i do this to myself disgusting fat failure,2
359,im only on episode number of number but  whoever did wardrobe should of been fired disgusting,2
360,seeing that honestly made me sick disgusting overyou,2
362,ugh that puts me in the worst fucking mood disgusting,2
363,user its been number weeks since ive mailed my complaint and no reply  action yet is this what you call customer care  disgusting,2
365,a girl just sat next to me on the train she smells like an ash tray  disgusting,2
366,you know a guy is really desperate when he randomly snapchats you a picture of his penis can you not disgusting juststop,2
367,my cartilage is so infected that my ear is starting to grow another ear disgusting,2
372,number hours since my last shower disgusting gross sick nasty,2
373,user the worst rental experience numberam in fl there are people w   children in line waiting number hrs for a car they reserved disgusting,2
376,how someone can write a absolutely vile tweet knowing their own son follows them is beyond me disgusting,2
377,now that i have legit quit smoking any time im around it i cant understand how i did it for so long eww disgusting,2
378,user i have never been spoken to so rudely as i was yesterday in the oxford st branch by the man by the changing rooms disgusting,2
382,stale muesli for breakfast disgusting,2
383,ill give everyone an idea dont phone in for any competitions on user if it says phone now mean it word of advise disgusting,2
384,how can you sit next to someone on public transport and cough and sneeze in there directioni dont want your cold disgusting germs rude,2
385,must of been so good you had to tell our manager before me disgusting,2
387,this weather though disgusting,2
389,just read the hat ficexcuse me whilst i go cry  be sick phan crying sick disgusting endmylife,2
390,ya i think that disgust,2
391,i know trains are bumpy but how the fuck did the lass before me wee on the seat horrible horrible girl disgusting,2
393,erm user everytime i open a story on your app a titty fuck porn gallery opens up on the internet disgusting,2
397,user just been told by ur homecare team that no one has ever needed a sat apt bnumber im still without heating and hot water disgusting,2
400,when people smell like beer in the friday early morning disgusting,2
403,gosport is apparently the numberth fattest area in england with number of our population overweight or obese disgusting getoutside obesity,2
405,ashwin is the nonumber all rounderare u kidding me disgusting,2
411,labour fucking what its okay to have sex with number year olds wtf disgusting,2
415,i dont understand how people can go days without showering disgusting showersrule,2
416,i literally cannot even comprehend how someone could live comfortably in filth scum disgusting cleanupafteryourself,2
426,still shuddering at the thought of that old woman having sex with someone only a few years older than her own grandchild disgusting,2
427,already spotted two people this week leaving the toilet without washing hands disgusting,2
428,oscars fans are all like poor him he doesnt deserve this what about reeva they seem to forget she is the actual victim disgusting,2
429,you shouldnt be allowed to have children if youre below a certain income poor people dont need cant support children disgusting,2
430,just saw a kid sneeze look at it then lick itthis is why i dont ride the bus disgusting neverridethebus,2
431,its terrible like its the original candy rain beat mixed with the im different beat  disgusting,2
432,i feel so sick now that i had to drink that and i still have more that i have to drink  ctscan disgusting,2
433,some people are so rude did your elders not ever teach you any manners disgusting,2
434,facebook is meant for two thingscute pic nd thanxdisgusting,2
435,shes too young for you bro disgusting,2
436,how bout you dont eat a donut while you teach the class smucking disgusting,2
438,this movie were watching in food makes me never want to eat meat again disgusting,2
440,men with long finger nails  why disgusting,2
441,drug defendants dad now clipping nails in courtroom disgusting etiquettechallenged,2
442,hm a cop car parked in front of my house number others cruising my neighborhood and number parked at gages school dislike creepy doorslocked,2
447,separately just put in a posting bag yesididreturn disgusting,2
448,when you over hear someone say that cigarets are delicious eww disgusting,2
449,i can here you chewingmaybe you should try eating with your mouth closed disgusting petpeeve,2
450,the fact that a whole train directly stares at a pregnant woman but dont give up a seat disgusting gladmamaraisedmebetterthanthat,2
451,user so sorry to hear about your motherinlaws condition whats more sad are the empty chairs in the hearing disgusting,2
453,why do people think spitting is acceptable disgusting,2
455,watching emergency animal rescue some swan munching romanian disgusting wrong,2
456,just been informed about what was said in our drunk phone calls user the ground needs to swallow us up now disgusting ha,2
458,i hate the smell of starbucks he mrs loves it disgusting,2
459,seven years of living in new zealand has made me soft  chicago i am freezing my balls off in you today polarvortex dislike aprilusa,2
460,i just threw up in my mouth a little  disgusting gross,2
462,can i just win the lottery so i dont have to work anymore work dislike,2
463,i just had the worst lunch i have ever had in a restaurant user tasteless disgusting complaint,2
465,fat chick walks into my class with a bag of mcdonalds as she walks in she shakes the whole room with every step  disgusting,2
466,if you have a girlfriend but pay attention and show affection to every girl but her i have no respect for you  disgusting,2
467,its almost numberam how can people drink soda this early disgusting,2
468,in floods of tears researching animal cruelty disgusting,2
469,props to the guy who just said hello to all of his coworkers as he walked out of the restroom without washing his hands ballsy disgusting,2
471,just got told that the hot face towels that get handed to you on emirates flights are reused disgusting grossedout emirates,2
472,user hey remember that time you got me a disney cookie for valentines day disgusting sogross bestpresentever roomie,2
473,lempsip is absolutely horrendous disgusting,2
476,do not sit in class and play with your tongue ring disgusting,2
477,you cant want nothing to do with him yet want to claim him on your taxes smh disgusting cantstandhim,2
478,so i didnt know your pass code expires on an iphone dislike,2
479,i just saw a portapotty called honeybucket disgusting gross worstname hauntednumberlife,2
483,ive literally thrown up number times since number am disgusting,2
485,do not pick your scabs off in the pool  disgusting,2
486,stop distributing nakedass pics on twitter its disgusting,2
487,clerk here answers the phone speaking at number mph and when callers dont understand he repeats too slowly and louder to shame them dislike,2
489,broke bitches so crusty disgusting,2
494,in denmark its legal to have sex with animals animals so what are people from denmark actually proud of their country disgusting,2
496,if cheesy rotten banana was a cheap perfume that would be exactly what my lecture hall smells like right now disgusting,2
497,user user just found out the bad guy  terrorist in nonstop movie is exmilitary your thoughts i think its disgusting,2
498,thank you to the guy smoking right outside the door of east hall the main lobby now smells of smoke disgusting,2
500,tips for fancy friday if youre wearing a dress keep your legs closed while sitting  classy disgusting,2
502,i literally have an itchy armpitand why is that soweird dislike,2
503,glad to see someone found guilty of sean noctors murder better be a decent sentence disgusting,2
505,biggest pet peeve in class when people clear their throat  hack up snot in their throat gag stop disgusting gtfo,2
506,the ratchets in wal mart please dont talk about your sex life and the uti you got bc of it disgusting threwupalittle,2
508,ohmylawd you never cease to amaze me pathetic disgusting,2
509,so number or number days before i hear from user again whilst the come up with another witty retort disgust,2
510,when i hear your name i cringe user user you know disgust sick cringypeople notcool,2
512,didnt know it was so hard to wash your hands after using the bathroom disgusting,2
513,cleaning out a vacuum is one of the worst things ever gross disgusting,2
771,i aint a crackhead like some other outchea disgusting cleanyaselfup,2
773,what is being done about the messon loomer road user user litter fly tipping and animals everywhere disgusting,2
774,a somerset youth has been charged w animal cruelty by user after a vid was posted on facebook user taken kittens disgusting,2
775,the smell of fags makes me want to physically vomit disgusting,2
776,groan work on a sat  dislike,2
779,ugh this guy on the bus stinks disgusting,2
780,grown ass men sucking on baby clips disgusting,2
781,could be doing with a night out tonight been almost number weeks hahaha disgusting,2
785,even filth like john downey realise glorifying murderers with a homecoming dance is wrong disgusting,2
788,sfpira shankill bomb  otr has letter of amnesty there is no bigger insult the government could give numberthe people of the shankilldisgusting,2
792,quick heads updo not eat pret kale crispsi repeat do not eat pret kale crisps disgusting,2
795,wanna punch tv seeing wickham in that shirt haha swfc disgusting,2
796,well thats a wrap folks bye negative suckit dontneedem disgusting,2
797,hate the smell of smoke disgusting,2
798,user r incognito entering a mental health facility is not sports news shameless disgusting embarrassing  knowwhentosaywhen,2
799,the amount of lads last night on drugs disgusting,2
801,ahh number minuten smile dislike,2
802,farmers spreading shit outside and the smell is rotten disgusting,2
805,hate seeing people rip off my nan disgusting,2
806,number swag bag theoscars disgusting,2
809,not only does troy work till number most nights now but then he gets called in on saturday dislike,2
813,stoke fans supposedly going to have a minute applause on the minute aaron ramsey broke his leg disgusting,2
817,no right to refuse new mexico photographer declined to use her artistic talents to promote same sex marriage fined number disgusting,2
819,i literally hate everything about stoke disgusting afc,2
820,it looks like number when you look at the sky but its really number degrees below that disgusting,2
823,its as if some people are physically unable to speak unless they have a mouthful of food disgusting,2
824,you know youre overqualified for your job when you witness a coworker pick their nose and eat their boogers twice in one day disgusting,2
827,damm this laddy really just ordered number worth of mcds disgusting,2
830,its not good when a group of girls target one girl on social networking sites disgusting,2
832,some girls need to realize they arent a size number and should put on more clothing  disgusting noonewantstoseethat,2
833,nikolai is nooooot the best choice for jello shots disgusting statepattys,2
835,shatter talks about bullying while using tactics of bully people calling my office on verge of suicide due to his inaction disgusting,2
836,a pigeon with a severe bowel problem just pooped on my car disgusting,2
837,user my mom got a coffee from the tim hortons at number springbank road in london with one of the rims already rolled updisgusting,2
838,aamir liaqat should just shut up now   inam ghar  disgusting,2
840,i hate when i check out a book start reading it then come across a page with a bugger in it disgusting,2
841,i actually feel like im about to pop disgusting,2
842,i despise grown ass men  women still living in their parents house rent free wont even buy a juice to put in the fridge disgusting,2
844,my dogs breath smells like those fish food flakes it is disgusting,2
846,pardew you absolute fucking prickyou deserve to be banned for the rest of the season disgusting,2
847,all i can hear is user puking in the toilet  disgusting,2
848,she really has a can of grizzly wintergreen in her back pocket disgusting,2
849,as if im reading reports about pardews antics what a nutter disgusting,2
850,user went through drive through in charleston wv and was served the worst fries ive ever seen  tasted soggy brown and old disgusting,2
851,vpoor performance awful decisions from the officials pardew should be sacked for headbutting meyler disgusting hcafc,2
853,give it up  disgusting,2
854,having mcdonalds for breakfest disgusting fuckmcds,2
856,the biggest pet peeve is being able to hear people eating  fuck its annoying ihateit sucks disgusting chew with mouth closed,2
857,numbermiles ran with user today i have never smelled this bad the ammonia stank is choking me disgusting vlmnumber getthehose,2
860,the filth that just came out of a guys mouth as i was walking down the road disgusting,2
862,after few eps of nip  tuck one would never wish any kind of body fix not to mention plastic surgeries disgusting,2
863,fair to say we were numbernd best today against a good wolves team good ground too but some appalling fans throwing coins at kids disgusting,2
866,user looking pathetic new look totally fail dislike,2
870,yogurt milk disgusting,2
871,thanks for ruining my breakfastwatching shows where people get tortured what a country we live in where thats entertainment disgusting,2
874,i have absolutely no respect for cheaters disgusting,2
876,not to bias their day by something some geezer in an office somewhere made up and got paid for it disgusting,2
877,woman in cereal aisle at kroger is flossing her teeth omg disgusting,2
878,user you used to be my favorite place to eat after todays visit i dont think i will be coming back boo disgusting neveragain,2
880,user fried coke is commonly sold at state fairs disgusting,2
882,why am i still waiting for a response from user about my claim from november traindrama customerservice disgusting,2
886,i absolutely cannot stand the smell of cigarette smoke literally almost makes me throw up disgusting,2
887,jon flanagan is the definition of butters disgusting,2
888,if i watch another sonic commercial im going to puke  disgusting,2
889,user user user he should be sacked hes a manager  leader who should always set an example disgusting,2
892,there is no worse turn off then noticing that a guy never cleans out his ears disgusting,2
894,search w  google maps phone app for specific biz type gets strangely limited results assumes choice for you shows directions dislike,2
895,need to think about the reason that robford tweeted a photo of himself in chicago hes rubbing salt into the wound topoli disgusting,2
896,i took a nap on break and woke up because a lady was eating so loud disgusting,2
898,still cant believe alan pardew headbutted another teams player disgusting,2
901,kim kardashian n word at viennaball disgusting germanracist oliverp gotohell shitstorm germannastyhumour dirty eeeehhhw,2
902,had to eat cinnamon rolls for breakfast disgusting,2
911,if youre a girl please shave your fucking face no one wants to see your mustache or goatee disgusting,2
912,when people in relationships act like theyre single disgusting havesomerespect,2
913,not sure why but i watched a video titled number year old zit being removed and i cant get the thought of it out of my mind disgusting,2
915,if ashley has any sense he will sack pardew violent players is one thing but what does it say when their leader is doing it disgusting,2
917,your language is foul disgusting getout,2
919,dad gave me scotch disgusting,2
924,user  reuniting dead polar bears with their hunters disgusting,2
925,the amount of hate some people get on here is out of order i saw one person say get cancer that is fucking disgusting disgusting sick,2
926,you should never say that to anybody disgusting somepeople,2
927,we hope all those political types that kissed the user folks backsides are proud of them now disgusting policingtroy,2
929,when i see a guy that has longer hair than i do i literally want to throw up disgusting,2
930,see thats why when i get done using the bathroom i wash my hand and den use a napkin to open da doorcant trust that shit man disgusting,2
932,just had to scrub my bathroom before i could use it disgust,2
936,craving a shamrock shakebut not the almost number calories along with it icandowithout disgusting,2
937,katherine forgot to wash her hands after going to the toilet hahaha disgusting,2
938,cant believe i witnessed a young boy trying to get his drunk mum home disgusting,2
939,anyone else see that disgusting,2
940,i fukin hate that advert proper pullin a baby out of its marshouldnt be able to show shit like that disgusting,2
941,why are loads of boys with girlfriends liking other girls tonight   disgusting,2
942,just saw commercial on some brazilian tv channel about tonights bigbrotherbrasil and im shocked disgusting awful b cantbelieve,2
943,its not hard to take a fucking shower disgusting,2
944,some people never change disgusting,2
945,and you wonder why nobody likes you disgusting,2
946,does anyone dislike the task of having to get gas as much as i do dislike gaspumping,2
947,it makes me siccccck to my stomach that you know he has a girlfriend and you still fuck around w him nasty grimmmy disgusting,2
951,user the people who spend their hard earned cash on packing that building to watch a last place team deserves better disgusting,2
953,quinoa is not for me disgusting,2
954,some little girl is sitting on the floor in the bathroom disgusting,2
955,id smack you but i dont want to get slut all over my hand disgusting putitaway,2
956,i literally hate washing dishes  disgustingughpissed,2
958,rory mcilroy just stuck a pin with a five iron from number yards out  disgusting,2
959,user can you tell me why it cost number for a bag of mms at melbourneinternationalairport whogetstheprofit disgusting,2
960,smoking at outdoor restaurants is not cool wont come back because of it disgusting youlookridiculous ohandyousmell,2
962,at what point do you weigh more than your age and think its ok number years old and number stone supersizevssuperskinny  disgusting getagrip,2
965,and prick of the day goes to alan pardew totally unprofessional and uncalled for nasty piece of work disgusting,2
966,dnt be that person inconsiderate disgusting,2
967,that talking cat thing is weird as fuck what is up with the sick minded people in this world perverts disgusting,2
968,pardew hang your head in shame disgusting,2
971,whats with girls lying about there age now days disgusting,2
972,just watched match of the day and if id have head butted someone at work id get sacked disgusting pardew pardewout,2
973,after watching user i have come to the conclusion alan pardew is a disgrace to football headbutt disgusting disgrace,2
976,charlie adams favourite hobby stampcollecting user motd user disgusting badrolemodel,2
977,how can you advertise a woman giving birth without any warning and in the manner to which it was done savethechildren advert disgusting,2
979,feeling emotional drained not looked after let down and in pain nhs shocking disgusting upset,2
980,suarez is a habitual cheat chelsea players have dived shamefully but not as consistently as him blights his quality game disgusting,2
981,starting at number tomorrow morning its sunday what even i am just not even sure how i feel about this disgusting,2
982,user why must you slam president at every turn you makefact that gop and yourself cannot say a word w  out a slam is disgusting,2
983,ive never felt so out of place in my whole life and this by my own family disgusting,2
984,had a full blown argument with a racist white drunk man on the bus disgusting racist equality,2
990,omg never smelled such stinky socks before disgusting,2
991,when the guy in the stall next to you rolls toilet paper out and it hits the ground then proceeds to use it  disgusting,2
993,witnessed a girl urinating wiping herself on clothes at gap outlet at west palm outlets store did not tell her to leave disgusting,2
994,after watching food inc and several other nutrition related films for class today  its clear we are all totally fucked food disgusting,2
996,how can airport staff be so unprofessional and treat a woman like that disgusting,2
