,storyid,sequence,text,sentword,sentword_vector,emotionlabel
40,1ff123a5-8d0d-42fd-a13d-d94e8d92aa05,storytitle,the criminal,criminal,"['involvement', 'hate', 'hatred', 'fear', 'grievous']",1
41,e0092f8b-b624-46b6-aa98-1e8980c3e438,sentence4,he was determined to become what he aspired to be,determined,"['eager', 'interest', 'fear', 'nervous', 'surprised']",1
42,83aabaf9-fec2-4cd3-bf47-84ae0dac800d,sentence2,he was taking the usual route that he knew well,well,"['interest', 'happy', 'relief', 'surprise', 'interested']",1
43,70fd0f50-dd9b-4d91-832c-81b5e68cdcf6,sentence2,she worked hard at cutting out the pattern,cutting,"['interest', 'relief', 'interested', 'worried', 'worry']",1
44,c3ac04f7-b244-4fc6-a6df-d00d89408bd3,storytitle,the hair cut,cut,"['interest', 'relief', 'fear', 'worry', 'worried']",1
45,c3ac04f7-b244-4fc6-a6df-d00d89408bd3,sentence4,she showed the hairdresser the cut that she had wanted,cut,"['interest', 'relief', 'fear', 'worry', 'worried']",1
46,5bbd8969-6f5d-4fe5-8ddf-f821e29a8c23,sentence1,the photographer was looking for something interesting to photograph,interesting,"['curious', 'interested', 'sad', 'interest', 'surprise']",1
47,3d0e7458-1378-4a37-9cd7-2f9f15b4230b,sentence5,the agent said people drowning wouldnt affect the homes value,value,"['interest', 'happiness', 'interested', 'enthusiasm', 'surprise']",1
48,edc7eceb-1422-429a-a8b2-38888497f46a,storytitle,ceiling fan,fan,"['enthusiastic', 'rage', 'angry', 'enthusiasm', 'hate']",1
49,edc7eceb-1422-429a-a8b2-38888497f46a,sentence4,afterwards she turned and ran right into the ceiling fan,fan,"['enthusiastic', 'rage', 'angry', 'enthusiasm', 'hate']",1
50,5533d91a-e537-4450-95f4-415252b74063,sentence2,she was determined to be totally prepared,determined,"['eager', 'interest', 'fear', 'nervous', 'surprised']",1
51,18f4b926-e170-4b38-9959-deda62e5dac3,sentence2,all was going well until he chomped down,well,"['interest', 'happy', 'relief', 'surprise', 'interested']",1
52,3edfab83-d9e4-4d8f-ae1b-d90e0d4ba3a0,sentence5,he launched in the air nearly clearing the whole driveway,launched,"['involvement', 'relief', 'surprise', 'angry', 'desperate']",1
53,c0001755-8a31-4f88-900d-7bcf828f7ed2,sentence5,but when he slid the ground was so hard it cut his leg,cut,"['interest', 'relief', 'fear', 'worry', 'worried']",1
54,0b88204a-d26f-48e0-9699-7ab13d93dafb,sentence2,her other kids werent adjusting well,well,"['interest', 'happy', 'relief', 'surprise', 'interested']",1
55,40654769-63a2-4a6d-8935-b0a136c13517,storytitle,jaimes passion,passion,"['enthusiasm', 'joy', 'happiness', 'hatred', 'sorrow']",1
56,39581438-dd10-4074-842c-733f24a1d375,sentence2,she put  worth of quarters in the first slot machine she saw,worth,"['interest', 'interested', 'relief', 'worrying', 'happy']",1
57,5517258a-98f9-4878-8c1f-5e1ff15a6c32,sentence1,yesterday i received a huge box of door handles i had ordered,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
58,8c0f4d61-5315-40fd-a482-706967e5ded0,sentence3,suddenly right in front of us was a huge moose,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
59,7242be10-745a-407d-942a-7093ff45b9c8,sentence4,the turtle entered the water successfully and the crowd cheered,cheered,"['enthusiastic', 'surprised', 'amazed', 'joyous', 'startled']",1
60,085e41df-fb9a-472c-92c9-cbfa12a83339,sentence3,barry received many individuals wanting to join the team,join,"['eager', 'interested', 'interest', 'happy', 'involvement']",1
61,e3609ec0-6419-423f-bf03-adafefcec2b9,sentence5,bob had more energy after changing his diet,energy,"['enthusiasm', 'interest', 'interested', 'eager', 'anger']",1
62,ddd88f64-8754-40bd-9f9a-fc65bcdd938f,sentence4,the king and his town gave it all he had against the rebels,rebel,"['involvement', 'fear', 'desperate', 'angry', 'repulse']",1
63,c250c567-4e2f-45be-82b6-954317bdbcb2,sentence3,he accidently left a hole open and a prisoner got out,prisoner,"['involvement', 'surprise', 'fear', 'afraid', 'desperate']",1
64,2c4d87ad-94ae-4089-a056-0141c9b3dcba,sentence3,but the new boy was too popular for neds liking,popular,"['interest', 'enthusiastic', 'interested', 'anger', 'angry']",1
65,f73c9011-e9e6-479f-be45-d3c32aed7993,storytitle,cut finger,cut,"['interest', 'relief', 'fear', 'worry', 'worried']",1
66,f73c9011-e9e6-479f-be45-d3c32aed7993,sentence2,she got a knife and began to cut it into slices,cut,"['interest', 'relief', 'fear', 'worry', 'worried']",1
67,f73c9011-e9e6-479f-be45-d3c32aed7993,sentence3,the knife slipped and cut her finger,cut,"['interest', 'relief', 'fear', 'worry', 'worried']",1
68,f73c9011-e9e6-479f-be45-d3c32aed7993,sentence4,she immediately rinsed off the cut and saw it wasnt too deep,cut,"['interest', 'relief', 'fear', 'worry', 'worried']",1
69,f73c9011-e9e6-479f-be45-d3c32aed7993,sentence5,she got a bandaid and continued cutting the watermelon,cutting,"['interest', 'relief', 'interested', 'worried', 'worry']",1
70,3ba47be7-c5eb-4aad-9cac-48786c59ae90,sentence1,cara had been faithful to her boyfriend tommy,faithful,"['enthusiastic', 'curious', 'joyous', 'happy', 'joyful']",1
71,140d1ee0-9123-48b5-bb8c-7f1ae3956227,sentence4,theo asked her to join him on a twoperson toboggan and she accepted,join,"['eager', 'interested', 'interest', 'happy', 'involvement']",1
72,55bc4fed-032f-408d-a675-549ceb74a83e,sentence1,tim is an avid coffee drinker,avid,"['enthusiastic', 'curious', 'interested', 'eager', 'enthusiasm']",1
73,cabc88af-2ede-421d-943a-36b6dbdadc48,sentence4,the curtains rose revealing an active and loud audience,active,"['interested', 'interest', 'involvement', 'enthusiastic', 'enthusiasm']",1
74,fb69713b-df63-489c-a079-cc62d30ae08e,sentence2,she let it cool and then started to decorate it,cool,"['enthusiasm', 'rage', 'mad', 'anger', 'hateful']",1
75,fb69713b-df63-489c-a079-cc62d30ae08e,sentence5,she was so proud when her coworkers complimented her work,proud,"['enthusiastic', 'happy', 'sad', 'eager', 'curious']",1
76,febb89ba-7db7-4e8e-9d95-e38c3c424705,sentence1,meredith was a very curious five year old,curious,"['curious', 'eager', 'interested', 'enthusiastic', 'enthusiasm']",1
77,5841bb8d-bdc1-4fa1-a79f-b466f18f39f4,sentence2,they shopped at lots of interesting stores,interesting,"['curious', 'interested', 'sad', 'interest', 'surprise']",1
78,1e957789-7a5d-4749-af3d-0af14d33b032,storytitle,roberts adventure,adventure,"['curious', 'joy', 'happiness', 'enthusiasm', 'happy']",1
79,1e957789-7a5d-4749-af3d-0af14d33b032,sentence1,robert was bored with life he need some entertainment,entertainment,"['interested', 'curious', 'happy', 'interest', 'joy']",1
80,1e957789-7a5d-4749-af3d-0af14d33b032,sentence2,he decided to pack up and go on a cross country adventure,adventure,"['curious', 'joy', 'happiness', 'enthusiasm', 'happy']",1
81,fd1f5d12-e643-4d40-a8fd-4324620f3744,sentence3,he finally decided to join the national guard,join,"['eager', 'interested', 'interest', 'happy', 'involvement']",1
82,92f3246b-4e34-4db7-8098-de058db73486,storytitle,more important things than people,important,"['interest', 'interested', 'nervous', 'worry', 'fear']",1
83,92f3246b-4e34-4db7-8098-de058db73486,sentence5,he ran over one of the workers and was arrested,arrested,"['involvement', 'angry', 'fear', 'afraid', 'hate']",1
84,d4d5d036-f620-4849-8276-c893b4aad1f6,sentence1,tom heard a strange noise in the attic,strange,"['curious', 'sad', 'surprise', 'amazed', 'disgusting']",1
85,4eed7e1a-0251-4716-9e34-672531cb65ad,sentence5,their faces were frozen and strange looking,strange,"['curious', 'sad', 'surprise', 'amazed', 'disgusting']",1
86,7e6b65f6-1ed3-4175-98ae-f0448a3012f3,sentence4,the whole band piled onto the bus giddy with excitement,excitement,"['enthusiasm', 'joy', 'anger', 'sadness', 'panic']",1
87,7e6b65f6-1ed3-4175-98ae-f0448a3012f3,sentence5,the bus spiraled off the road killing everyone on it,killing,"['involvement', 'hatred', 'fear', 'angry', 'anger']",1
88,75f296c5-8283-4b85-9a65-e876f244c667,sentence5,the story inspired larry to mow the lawn,inspired,"['enthusiasm', 'joy', 'happy', 'interest', 'hatred']",1
89,f19000be-cd55-4439-a68c-da110a8e4b33,sentence2,then she breaded each slice carefully before frying them,carefully,"['curious', 'anxious', 'eager', 'fear', 'interested']",1
90,1f687d8c-80ac-4b2e-bf11-e79afa91a0f7,sentence3,the kids were hoping they would get a snowday,hoping,"['eager', 'anxious', 'desperate', 'fear', 'worried']",1
91,1f687d8c-80ac-4b2e-bf11-e79afa91a0f7,sentence4,the next morning there were huge drifts in the street,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
92,08e8bbda-6575-446a-9132-5f1dab9dafbb,sentence2,he denied it,denied,"['involvement', 'interested', 'fear', 'worried', 'interest']",1
93,08e8bbda-6575-446a-9132-5f1dab9dafbb,sentence5,the charges were soon dropped,charge,"['involvement', 'interest', 'grievous', 'surprise', 'hatred']",1
94,12f0c082-759e-40fb-be9b-efbe53d20507,sentence4,one day she gathered the courage to ask her boss for a raise,courage,"['enthusiasm', 'grief', 'sorrow', 'sadness', 'hatred']",1
95,5d7195c6-b737-4d1d-8290-5c9403799caf,sentence1,tony made a huge batch of waffles,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
96,2d076b7f-b8fe-4e7b-a8bf-a316904a5741,sentence1,determined to drink more water i carried a water bottle everywhere,determined,"['eager', 'interest', 'fear', 'nervous', 'surprised']",1
97,2099efa1-e157-4379-bdeb-4ab62f306125,sentence5,bob agreed to the price and went inside to prop his foot up,agreed,"['interest', 'interested', 'relief', 'involvement', 'surprised']",1
98,ead4612f-9b82-477e-8fc5-ad8366dbd195,sentence2,he asked his boss if he could work some overtime to pay for it,pay,"['interest', 'relief', 'worry', 'fear', 'anger']",1
99,845b62e4-9240-4afe-8d59-ae2bc183967c,sentence2,they each got huge cuts of meat,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
100,f6e0ad8c-ab0f-488d-902e-24f1c066396d,sentence3,they couldnt agree on a spot,agree,"['eager', 'interested', 'interest', 'worry', 'fear']",1
101,052865f0-5e90-4384-a33c-75e4c08bd4c1,sentence5,shayla was proud that she could finally fit into the dress,proud,"['enthusiastic', 'happy', 'sad', 'eager', 'curious']",1
102,9e2acbe4-197c-48db-9769-7b31f20d0b8e,sentence2,every time they saw the tree growing taller they thought of me,growing,"['interest', 'anger', 'fear', 'enthusiasm', 'worried']",1
103,ea14bc48-33d9-4304-aa97-e2a84988ebe9,sentence4,jude was determined to practice every spare second he had,determined,"['eager', 'interest', 'fear', 'nervous', 'surprised']",1
104,7f0024b3-e2c7-4e38-9116-464e8374f861,sentence5,cathy did so well at the interview that they hired her on the spot,well,"['interest', 'happy', 'relief', 'surprise', 'interested']",1
105,c7116f14-916a-4c87-8652-fcb26f1fc410,sentence4,they quickly backed away from the door and the rain,backed,"['involvement', 'interest', 'fear', 'angry', 'relief']",1
106,39889532-2429-4c1a-b442-1fbcc3021ac9,sentence1,bailey had been an avid roller derby fan,fan,"['enthusiastic', 'rage', 'angry', 'enthusiasm', 'hate']",1
107,f778e5a2-448e-4e98-9169-a42d4207a790,sentence2,his car was making a strange noise,strange,"['curious', 'sad', 'surprise', 'amazed', 'disgusting']",1
108,94b378eb-c811-46a4-94b3-35ea03a0c050,sentence1,danny had been very well behaved this week,well,"['interest', 'happy', 'relief', 'surprise', 'interested']",1
109,6b684582-1c50-4da1-9480-208d095bedaa,sentence4,by mile four the bottom had fallen out,fallen,"['interest', 'desperate', 'grief', 'fear', 'worried']",1
110,68874779-7af9-4180-8182-e63678da7629,sentence2,he had a huge couch that he needed to move,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
111,ad78466b-bb1e-4c98-b852-ca1cfa40a490,sentence5,now the plant is doing really well and has several young sprouts,well,"['interest', 'happy', 'relief', 'surprise', 'interested']",1
112,e8206842-b8c4-48a7-bf3f-f0ecc0532a58,sentence4,rhonda thought the world was against her but was determined,determined,"['eager', 'interest', 'fear', 'nervous', 'surprised']",1
113,d46fa838-c8f6-4e97-9007-395d865a119f,storytitle,mature lady,mature,"['enthusiastic', 'interested', 'interest', 'curious', 'nervous']",1
114,74ee14ad-ccc7-49d3-bae9-d510953b1a5e,sentence3,i spent months wavering on whether to cut it,cut,"['interest', 'relief', 'fear', 'worry', 'worried']",1
115,74ee14ad-ccc7-49d3-bae9-d510953b1a5e,sentence4,in a sudden moment of determination i lopped off my pony tail,determination,"['enthusiasm', 'hatred', 'anger', 'sadness', 'happiness']",1
116,98e77ce3-0b2b-4406-85a1-61c0d7b71c9f,sentence5,ally took a bow during the audiences applause,applause,"['enthusiastic', 'joyous', 'joyful', 'enthusiasm', 'joy']",1
117,d5bbfaaf-a556-4af6-b8e4-4e0305b96535,storytitle,the delay,delay,"['interest', 'involvement', 'fear', 'worry', 'relief']",1
118,30e9d5d5-f302-493b-bd83-1ebeb45bf1f2,sentence3,as a result her grades in college were falling,falling,"['interest', 'fear', 'worrying', 'panic', 'worried']",1
119,50c01bfa-5f0f-418d-94e8-cd279749c704,sentence3,the assistants watched her anticipation in their faces,anticipation,"['enthusiasm', 'interest', 'nervous', 'panic', 'anxious']",1
120,39519a02-3162-4823-a1b0-69691f384920,sentence5,the summit would take days but they knew it would be worth it,worth,"['interest', 'interested', 'relief', 'worrying', 'happy']",1
121,234c402b-a087-40d0-b39e-79374fe1a755,sentence3,the instructor said some encouraging words to me,encouraging,"['interested', 'interest', 'enthusiasm', 'involvement', 'enthusiastic']",1
122,44c6411f-939e-4dc0-9b26-3342668518c1,sentence5,it was a huge state of the art drone,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
123,02a18d07-d077-42a3-9438-5b55c764f71f,sentence3,bills father is a very talented but retired and judging saxophonist,talented,"['curious', 'enthusiastic', 'eager', 'interested', 'amazed']",1
124,27c16678-33b1-4075-8c27-f4f84c147981,sentence3,johnny caught a huge salmon when fishing,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
125,27c16678-33b1-4075-8c27-f4f84c147981,sentence4,he was very proud,proud,"['enthusiastic', 'happy', 'sad', 'eager', 'curious']",1
126,f2dc946c-4933-40ca-ab5d-f927faf446fc,sentence2,they couldnt agree on what dishes they wanted,agree,"['eager', 'interested', 'interest', 'worry', 'fear']",1
127,57b54dc8-b89a-4faa-ba1a-0a86c6168bf0,sentence3,i finally gave in a tried even though i am not very flexible,flexible,"['enthusiastic', 'cheerful', 'interest', 'wary', 'happy']",1
128,b5995629-0c97-4563-9990-3d39f3164f77,sentence1,i have a huge disney bag that i bought five years ago,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
129,470f2783-fba6-4d43-ade4-e3a1b6e3b516,sentence4,he grabbed a piece a took a huge bite,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
130,aa86412f-612c-4a9c-86a3-7e2f33f0d86a,sentence1,joe wanted to learn how to play guitar to impress cindy,impress,"['eager', 'amazed', 'surprised', 'surprise', 'enthusiasm']",1
131,9915ca73-607b-4d60-9589-df56074e4cef,sentence5,jason was proud that he was finally a lawyer,proud,"['enthusiastic', 'happy', 'sad', 'eager', 'curious']",1
132,8e74427f-8d5f-4399-a60c-8e5350d5ee88,sentence3,she got two dollars worth of quarters,worth,"['interest', 'interested', 'relief', 'worrying', 'happy']",1
133,3232536f-3dc5-4214-8734-33153cc1bca3,sentence2,the team was competing in an important swim meet,important,"['interest', 'interested', 'nervous', 'worry', 'fear']",1
134,1a661268-560f-4c9a-b02f-31befa7a57ec,storytitle,first credit card,credit,"['interest', 'worried', 'worry', 'relief', 'fear']",1
135,1a661268-560f-4c9a-b02f-31befa7a57ec,sentence1,ed got his first credit card,credit,"['interest', 'worried', 'worry', 'relief', 'fear']",1
136,1a661268-560f-4c9a-b02f-31befa7a57ec,sentence5,he vowed he would be more careful in his spending,careful,"['curious', 'afraid', 'wary', 'anxious', 'interested']",1
137,d1fa0b53-e531-4122-84d3-3664e831c2e6,sentence4,she received many interviews at places that interested her,interested,"['interested', 'curious', 'eager', 'interest', 'enthusiastic']",1
138,6a5f7bed-0122-401d-8fd0-fa482a02bc19,storytitle,credit fraud,fraud,"['involvement', 'fear', 'interest', 'hate', 'grievous']",1
139,6a5f7bed-0122-401d-8fd0-fa482a02bc19,sentence1,carla went shopping and her credit card was declined,credit,"['interest', 'worried', 'worry', 'relief', 'fear']",1
140,6a5f7bed-0122-401d-8fd0-fa482a02bc19,sentence3,she noticed hundreds of dollars in charges that she hadnt made,charge,"['involvement', 'interest', 'grievous', 'surprise', 'hatred']",1
141,6a5f7bed-0122-401d-8fd0-fa482a02bc19,sentence4,carla called her bank to report fraud,fraud,"['involvement', 'fear', 'interest', 'hate', 'grievous']",1
142,fd49273a-86f2-44f4-a515-36400762143d,sentence1,i entered my biochemistry class with confidence during the first day,confidence,"['enthusiasm', 'interest', 'fear', 'surprise', 'worried']",1
143,d188110d-1bf8-485e-948d-8e2c2cfb981a,sentence5,i sent him a note thanking him for his generosity,generosity,"['enthusiasm', 'grief', 'sorrow', 'sadness', 'happiness']",1
144,5e7db710-106f-466e-8031-e91ddad37e77,storytitle,ted discovers a topic of interest,interest,"['interest', 'interested', 'enthusiasm', 'curious', 'eager']",1
145,5e7db710-106f-466e-8031-e91ddad37e77,sentence1,ted was never a big fan of reading books,fan,"['enthusiastic', 'rage', 'angry', 'enthusiasm', 'hate']",1
146,5e7db710-106f-466e-8031-e91ddad37e77,sentence2,he often thought he should read more but he just wasnt interested,interested,"['interested', 'curious', 'eager', 'interest', 'enthusiastic']",1
147,5e7db710-106f-466e-8031-e91ddad37e77,sentence4,ted started reading this book and found it fascinating,fascinating,"['curious', 'sad', 'disgusting', 'interested', 'amazed']",1
148,703995cc-8680-4455-b768-67616447115a,sentence2,his young dog always wants to play go for walks and be active,active,"['interested', 'interest', 'involvement', 'enthusiastic', 'enthusiasm']",1
149,bce6a267-df25-409f-8937-178934969e74,sentence2,he got his opportunity after he graduated college,opportunity,"['eager', 'interest', 'surprise', 'happy', 'enthusiasm']",1
150,035c3c0c-a3c8-452c-b1c4-958a84bbb317,sentence2,they had agreed on a mexican restaurant,agreed,"['interest', 'interested', 'relief', 'involvement', 'surprised']",1
151,dd0b1a91-bab8-4b5f-b668-23d11676f8f9,sentence4,johnny used his incredible imagination to write interesting books,interesting,"['curious', 'interested', 'sad', 'interest', 'surprise']",1
152,e01c0489-e0b5-441a-b5b8-593aafa8127c,sentence3,the smell grows stronger as he reaches the back of the house,stronger,"['interest', 'fear', 'wary', 'enthusiasm', 'worried']",1
153,8aec7c97-3ba4-4e28-9b91-5196efedf804,sentence1,the news warned that a strong hurricane was coming,strong,"['interest', 'fear', 'enthusiasm', 'surprise', 'worried']",1
154,a61244a4-ee81-48db-b3cc-27378cafb39d,sentence2,he bought fresh berries and found a recipe,fresh,"['interest', 'happy', 'enthusiasm', 'fear', 'surprise']",1
155,8a64299f-b1a8-41f1-a564-a2f1cfdbba07,storytitle,roller skating adventure,adventure,"['curious', 'joy', 'happiness', 'enthusiasm', 'happy']",1
156,855b194d-3532-4d31-9b99-4624c8debca8,sentence4,she thought it was odd that a woodpile would meow,odd,"['curious', 'sad', 'desperate', 'surprise', 'disgusting']",1
157,a266505d-dad4-4c51-aad8-1bbc208090de,sentence4,finally he stood up determined to ask her out,determined,"['eager', 'interest', 'fear', 'nervous', 'surprised']",1
158,763218b2-8be4-497d-8639-b218d9618ce8,sentence3,the police officer told josh that having tinted windows was illegal,illegal,"['involvement', 'fear', 'hate', 'hatred', 'anger']",1
159,7e83e71e-d857-4827-ba32-170f476fdd84,sentence2,he was so proud he took it out on the highway to try it out,proud,"['enthusiastic', 'happy', 'sad', 'eager', 'curious']",1
160,bfb11a57-3ded-4df7-8339-b99b35a8a85b,storytitle,energy efficient,efficient,"['interested', 'enthusiastic', 'relief', 'happy', 'interest']",1
161,fb89e3f7-47f2-49b8-9536-410ca0bb2272,sentence4,the storm was huge bearing a tornado and headed for his cattle,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
162,1d53e127-3272-41ef-809e-4012cb68295f,sentence4,the spaghetti sauce was very runny and gross,gross,"['interest', 'disgusting', 'grievous', 'happiness', 'surprise']",1
163,3922224c-4efc-4d29-a5e6-438a0affc39d,sentence5,and she regained the ability to walk again,ability,"['interest', 'enthusiasm', 'fear', 'eager', 'surprise']",1
164,ceec826f-148b-4b90-a554-d40d47c39162,sentence4,david got a job cutting grass all summer,cutting,"['interest', 'relief', 'interested', 'worried', 'worry']",1
165,9d056697-7016-40c3-b154-93154ba1dbea,sentence4,she got into her car and determined her route,determined,"['eager', 'interest', 'fear', 'nervous', 'surprised']",1
166,febd4867-b8cc-4834-9b31-a617f53842c2,sentence2,the one condition was that they did well on the exam,well,"['interest', 'happy', 'relief', 'surprise', 'interested']",1
167,7b402f5a-c515-4081-918d-9620a0a609c4,sentence2,she always was careful of the pictures she took of herself,careful,"['curious', 'afraid', 'wary', 'anxious', 'interested']",1
