,storyid,sequence,text,sentword,sentword_vector,emotionlabel
22,f0daedc2-253f-4ea0-a6b3-4bcf1ffa3107,sentence3,the drive got very boring after a few days,boring,"['disgusting', 'sad', 'irritating', 'gloomy', 'desperate']",2
23,c1fe829e-2114-4e81-add4-34a456a5041a,sentence1,stan hated living in a small town,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
24,a266505d-dad4-4c51-aad8-1bbc208090de,sentence2,he hated coffee but he loved one patron that was always there,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
25,bde40f42-ba70-486e-b736-e8e0c7504430,sentence1,tia was having a good dream,tia,"['loathe', 'mad', 'annoyed', 'repulsion', 'sadden']",2
26,f30acc60-995d-41fe-8e7b-318a51c588b0,storytitle,greedy hippos,greedy,"['disgusting', 'scared', 'hateful', 'angry', 'annoyed']",2
27,3922224c-4efc-4d29-a5e6-438a0affc39d,sentence1,tina was a horrible car accident,horrible,"['disgusting', 'dreadful', 'sad', 'grief', 'sorrow']",2
28,588fd0f1-2937-4fb1-bf4e-2a3492cae994,storytitle,nasty occurrence,nasty,"['disgusting', 'hateful', 'dreadful', 'angry', 'surprise']",2
29,d4763b43-7df8-49ee-9ede-d260e306d02e,sentence1,josh has a horrible left batting swing,horrible,"['disgusting', 'dreadful', 'sad', 'grief', 'sorrow']",2
30,2ed9b4fe-4a3f-40f6-b4a8-850812f7a367,sentence2,i was sad angry and hated my family due to years of extreme abuse,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
31,fe369ec3-caf8-446e-aa27-080111855d4d,sentence2,he hated it but needed it at the same time,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
32,7e7b8a8b-5772-41eb-9365-620ef9b9ed4b,storytitle,kissing booth,kissing,"['disgust', 'curious', 'disgusting', 'joy', 'joyful']",2
33,f814fc84-b905-417a-bd1f-09c5fd251feb,sentence3,he hated himself and delved deeper into darkness,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
34,f4584b4c-4f6b-46dd-957d-ed168eaab181,sentence5,laura could not believe how foolish billy was,foolish,"['disgusting', 'afraid', 'dreadful', 'scared', 'loathe']",2
35,6bd5bad4-66d7-433d-80e3-49ca38d9b0ba,sentence2,since the traffic was horrible i slowly tried to maneuver my car,horrible,"['disgusting', 'dreadful', 'sad', 'grief', 'sorrow']",2
36,5343f8e3-5cb8-4724-ab50-ae3a43870a55,sentence3,cierra told him a hilarious joke,hilarious,"['disgusting', 'sad', 'irritating', 'joyous', 'desperate']",2
37,c4beaecc-1306-4fff-b1bf-84fec9e1b77e,sentence1,milo always disliked the boy who lived across the street,disliked,"['dislike', 'loathe', 'annoyed', 'irritated', 'disgusting']",2
38,53f9c332-3a31-4869-8654-cba23332b42b,sentence1,leo hated going to school,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
39,121e02a9-049c-49d5-9db2-809deced5b22,sentence1,kates dog spot hated baths,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
40,e3bc6dfd-53fb-483c-b436-a07aad7e67bd,sentence2,she felt a tremble in her stomach,tremble,"['disgust', 'amazement', 'astonishment', 'loathe', 'sadden']",2
41,31f09926-bc1c-416e-b7df-d921da337ccb,sentence2,she was all dressed up in her nicest dress,nicest,"['disgusting', 'cheerful', 'amazed', 'joyful', 'loathe']",2
42,0eb173cd-4789-4604-9d32-e64ed9e7d25b,sentence4,his girlfriend hated her gift,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
43,0627079b-22fe-4eb3-9daf-ed8026337b3d,sentence5,the moth was smashed into a flat bloody splat,bloody,"['disgusting', 'rage', 'angry', 'hatred', 'fear']",2
44,b74cc503-9868-48b6-b7e2-932999edf80f,sentence1,allan realized one day that he was living a very unhealthy life,unhealthy,"['disgusting', 'irritating', 'dislike', 'hateful', 'hatred']",2
45,d2718d2b-e3b2-4f0d-a265-76608e79bc6a,sentence4,he called his boss and used the traffic jam as an excuse to be late,excuse,"['disgusting', 'afraid', 'fear', 'hate', 'worry']",2
46,bf74ba83-0419-4ede-8caf-fdd4b3efb785,sentence1,lester notices that he beard is getting messy,messy,"['disgusting', 'sad', 'irritating', 'joyful', 'gloomy']",2
47,219a92f3-81ba-4a49-863d-0d8f4789760c,sentence3,he messed up on the plumbing,messed,"['disgusting', 'amazed', 'nervous', 'sad', 'scared']",2
48,2400dff9-b562-446a-902a-997e742a2ed3,sentence3,i walked away and started liking it,liking,"['dislike', 'loathe', 'enthusiasm', 'curious', 'interested']",2
49,f083702a-348f-4331-87d2-6435dd83550e,sentence2,as he opened the dumpster he felt a bite at his foot,dumpster,"['disgusting', 'disgust', 'horrified', 'loathsome', 'sadden']",2
50,53ac0864-2f45-4407-bce8-16000d366fc4,sentence1,charles notices that his kitchen is messy,messy,"['disgusting', 'sad', 'irritating', 'joyful', 'gloomy']",2
51,c9e366af-5cd9-4988-8277-94374eafc0da,sentence4,eric spoke to a manager and got an acceptable deal,acceptable,"['disgusting', 'happiness', 'happy', 'disgust', 'interested']",2
52,8d431372-d487-42bf-b79b-fe5c41ca022c,sentence3,i gladly accepted it,gladly,"['loathe', 'sadden', 'astonished', 'amazed', 'surprised']",2
53,307e5740-1a8d-41ae-be03-e131d1731719,storytitle,the cheat,cheat,"['loathe', 'afraid', 'hate', 'grievous', 'mad']",2
54,d154d2f7-22af-4518-990f-e366352689d7,sentence3,he started stumbling and puking,puking,"['disgusting', 'sadden', 'weepy', 'loathsome', 'irritating']",2
55,4f0ce892-c36a-4211-91a6-7efb828a80e1,sentence5,the girls still thought the weather was ridiculously hot,ridiculously,"['disgusting', 'cheerful', 'amazed', 'loathsome', 'sorrowful']",2
56,a12a7a6a-799a-430b-b803-2e60e384a39d,sentence5,betty felt very silly,silly,"['disgusting', 'sad', 'irritating', 'mad', 'scared']",2
57,d55a7a53-efff-4ae7-8bf8-c48552b3c5a0,storytitle,dirty,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
58,b3881a73-694b-4261-9681-8aefd4cb0e0a,sentence5,now he plays with a pink and blue racket and he feels foolish,foolish,"['disgusting', 'afraid', 'dreadful', 'scared', 'loathe']",2
59,5ba3c956-09a5-4b77-b737-0a7fb36668e2,sentence1,gertrude hated sharing her toys with her brother billy,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
60,801613c7-56d2-481d-a7d5-6d576a26ca02,sentence4,she decided to cheat on her diet,cheat,"['loathe', 'afraid', 'hate', 'grievous', 'mad']",2
61,066f8318-2976-47d6-bd9b-4abe72a99c63,sentence1,ken is a boring old guy,boring,"['disgusting', 'sad', 'irritating', 'gloomy', 'desperate']",2
62,46e3a934-ae1f-427c-82f6-ae6809bb6a6b,sentence1,billy hated vegetables of all sort but especially green ones,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
63,55d8b96e-5d91-43d8-b050-7920b04ee351,sentence1,each halloween nancy dresses as a witch,witch,"['disgusting', 'hatred', 'mad', 'afraid', 'fear']",2
64,8097c2bd-1ed2-41c3-8ae6-b86a3835989a,sentence4,she answered the calls ruining the proposal,ruining,"['disgusting', 'afraid', 'worrying', 'loathe', 'fear']",2
65,1f058b5b-8f12-4ccf-993c-cf8adccaebfa,sentence3,shed scoop them up and take them home,scoop,"['disgusting', 'disgust', 'repulse', 'loathe', 'desperate']",2
66,f94e6c57-93af-43ab-834e-fbaefa5f5b15,sentence3,they thought theyd enjoy them but they were actually disgusting,disgusting,"['disgusting', 'disgust', 'dislike', 'loathsome', 'loathe']",2
67,01e496ed-7b24-4644-9c68-ffc7276817d6,sentence4,however the jerk asked me for nude pictures,jerk,"['disgusting', 'panic', 'disgust', 'amazement', 'angry']",2
68,7aa39dfe-6b64-422f-9d4e-578fc3692d92,sentence3,kerry pinned the attacker to the ground and took her gun,attacker,"['repulse', 'panic', 'angry', 'nervous', 'startled']",2
69,7aa39dfe-6b64-422f-9d4e-578fc3692d92,sentence4,the driver called the police and the attacker was arrested,attacker,"['repulse', 'panic', 'angry', 'nervous', 'startled']",2
70,7aa39dfe-6b64-422f-9d4e-578fc3692d92,sentence5,kerry was very glad that she learned how to fend off attackers,attacker,"['repulse', 'panic', 'angry', 'nervous', 'startled']",2
71,a38b0ee7-fa00-4c71-bf99-2ec7f4432f7b,storytitle,stench,stench,"['disgusting', 'disgust', 'sadness', 'sorrow', 'grief']",2
72,a38b0ee7-fa00-4c71-bf99-2ec7f4432f7b,sentence5,the stench was her brothers clothes,stench,"['disgusting', 'disgust', 'sadness', 'sorrow', 'grief']",2
73,40bbfd92-4129-4ce3-8d02-0b0eefe68331,sentence4,after lunch on the way home tom felt a tremble,tremble,"['disgust', 'amazement', 'astonishment', 'loathe', 'sadden']",2
74,97a8f760-d1ec-4011-8597-593c5964479a,sentence1,beth hated her job,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
75,c25a2d29-54ba-4a35-bbda-d3d1d730e6d2,sentence3,he didnt want to cheat but he didnt study,cheat,"['loathe', 'afraid', 'hate', 'grievous', 'mad']",2
76,f6673346-37da-4be1-8385-55c2c5141d7f,sentence4,shed done a horrible job,horrible,"['disgusting', 'dreadful', 'sad', 'grief', 'sorrow']",2
77,1e0f8a19-fc39-489b-8342-709703d95d19,sentence3,he took her out to the nicest place in town,nicest,"['disgusting', 'cheerful', 'amazed', 'joyful', 'loathe']",2
78,f553192c-c620-4bfd-a5b7-2bd4b788d399,sentence4,afterwards he said he hated the music,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
79,912e9c00-5fbd-44d3-9ec2-72c5fcb92e34,sentence1,chris notices that his glasses have become dirty,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
80,301bc159-3248-410e-8551-7995a54fadbc,sentence4,cathy absolutely hated the color of the coat,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
81,bca843af-5e66-4fd9-a6b8-9884e3bf49ff,sentence2,the first time the plane flew it made a horrible noise,horrible,"['disgusting', 'dreadful', 'sad', 'grief', 'sorrow']",2
82,b67dee4b-dc35-4079-b9bc-1d92af3c1281,sentence4,the clerk looked at fred with disgust and snatched the puppy back,disgust,"['disgust', 'disgusting', 'dislike', 'anger', 'amazement']",2
83,6b9aeb81-4622-4fbd-aab1-7c8a2c900385,sentence5,kenny hated sports and just wanted them to leave him alone,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
84,7afb33ca-d510-4c76-84af-413d56d98e47,sentence1,i had a pile of dirty clothes,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
85,40177a52-204d-418d-a9b1-6953197aec30,sentence1,stacy had always hated winter and cold temperatures,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
86,89e7b3cf-8bd6-4145-bebf-24ae895fa8bf,sentence4,while she was singing a pair of lesbians started kissing,kissing,"['disgust', 'curious', 'disgusting', 'joy', 'joyful']",2
87,5b2a2193-bb4d-4b45-b938-eeb0403e3833,sentence5,he decided to stop eating meat after that unpleasant taste of iron,unpleasant,"['disgusting', 'irritating', 'sad', 'sadness', 'dislike']",2
88,111f1442-ded0-4a31-a4a8-9d99d50876a6,sentence2,i had this horrible stomach ache for days,horrible,"['disgusting', 'dreadful', 'sad', 'grief', 'sorrow']",2
89,042a79b3-83a1-4738-abf8-c98a0de26a33,sentence4,martha hated missing work but she had no choice,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
90,55008c18-0043-4df6-ba61-2f6e8b215724,sentence5,chris never forgave himself,forgave,"['loathe', 'dislike', 'grievous', 'disgust', 'astonished']",2
91,e2a29331-862c-42bb-bae2-cad840173450,sentence1,jackie was lying on her bed with a nasty grin,nasty,"['disgusting', 'hateful', 'dreadful', 'angry', 'surprise']",2
92,4296d600-8feb-4970-b1e1-35e734d245db,sentence3,he than began to get nasty and rude,nasty,"['disgusting', 'hateful', 'dreadful', 'angry', 'surprise']",2
93,74d75cd5-5b84-4c3f-ab60-57eb3df415d1,sentence3,she began a lot of fruits and vegetables instead of unhealthy snacks,unhealthy,"['disgusting', 'irritating', 'dislike', 'hateful', 'hatred']",2
94,435030be-5ecb-4a2b-bcea-5f840b5c41d3,sentence1,maxine notices that her works shoes look a little dirty,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
95,6b462317-49c9-4d4a-a40e-fadb72ef3c72,storytitle,fannys messy kids,messy,"['disgusting', 'sad', 'irritating', 'joyful', 'gloomy']",2
96,c5fa1389-f0df-43f3-abb2-f6a4216d999d,sentence3,he saw his girlfriend outside kissing another man,kissing,"['disgust', 'curious', 'disgusting', 'joy', 'joyful']",2
97,0a9ad0d3-f1d7-4288-aeef-c0f183e9c574,sentence3,she took off her clothes and put them into the dirty laundry,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
98,c3cd2cd4-7518-4d62-85f5-fd337a142596,sentence2,however she has a horrible backhand,horrible,"['disgusting', 'dreadful', 'sad', 'grief', 'sorrow']",2
99,59656d24-373d-4a34-97ce-6f9fb0a97087,sentence1,jake always hated spiders,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
100,0d7ca643-dcee-48d8-a81c-79140b8d137a,storytitle,a fantastical story,fantastical,"['disgusting', 'loathsome', 'joyous', 'sorrowful', 'loathe']",2
101,82812395-ae47-43ac-8861-f20046f4e837,sentence1,don noticed that his house was getting dirty,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
102,7063720c-d021-4fdf-ab72-83290f1e4e6e,sentence5,igor paid the outrageous fee because he had no other choice,outrageous,"['disgusting', 'loathsome', 'hateful', 'disgust', 'amazed']",2
103,ef17d445-11aa-4096-98e2-3529383c14cb,sentence3,they ran his credit and said sir youre credit is horrible,horrible,"['disgusting', 'dreadful', 'sad', 'grief', 'sorrow']",2
104,dd4deadc-d395-4e29-b1e4-68c70d9feb23,storytitle,sarahs vicious cat,vicious,"['disgusting', 'hatred', 'hateful', 'rage', 'dreadful']",2
105,3188de2d-fb85-4247-8f25-6883b865a999,sentence4,his opponent ran a smear campaign and ran childish ads,smear,"['disgusting', 'hateful', 'hatred', 'hate', 'loathe']",2
106,30ead8a4-75af-44c0-850a-8f75b785c803,sentence2,he thought that the pastors sermon was boring,boring,"['disgusting', 'sad', 'irritating', 'gloomy', 'desperate']",2
107,c8907848-f9e8-46ae-af5f-e385b7ff51e1,sentence2,it had an ugly pink tub caked with hard black stuff,ugly,"['disgusting', 'sad', 'hateful', 'dreadful', 'angry']",2
108,c8907848-f9e8-46ae-af5f-e385b7ff51e1,sentence4,it was then that he realized just how nasty the tub truly was,nasty,"['disgusting', 'hateful', 'dreadful', 'angry', 'surprise']",2
109,6cf8e008-c39a-42e2-a92e-50c97c1581b4,sentence1,i always hated veggies on burgers,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
110,95587d25-9150-4606-9673-33ec5f017d27,sentence1,greg was driving his dump truck down a windy road,dump,"['disgusting', 'angry', 'fear', 'worry', 'panic']",2
111,281ddc46-5b17-44be-a009-202b0ba4c797,sentence5,now my shoes are dirty,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
112,268cae25-142d-411f-8759-c09499613b52,sentence3,they also replaced the vanity,vanity,"['disgust', 'hatred', 'joy', 'happiness', 'rage']",2
113,547b213b-8bfd-4a94-aeb3-7a2d4df4e213,sentence2,when i was out in the yard i had stepped on some dog shit,shit,"['disgusting', 'mad', 'hateful', 'hate', 'irritating']",2
114,f1d0a6b9-1a8f-4ce9-a94b-19e80cb084bf,sentence2,she wants to clean her dirty sheets and towels,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
115,0cd1b5c4-7528-4dbc-9a05-b5eb187b6349,sentence3,they wanted a lot of silly made for tv movies,silly,"['disgusting', 'sad', 'irritating', 'mad', 'scared']",2
116,970052f8-7d4c-4aa3-ba5c-301b00c1e323,sentence2,he wanted a long pencil thin one like the villains in movies had,villain,"['disgusting', 'loathsome', 'mad', 'fury', 'irritating']",2
117,abe23121-4fd3-4fde-a965-9d3d49006f10,sentence3,but when she got there she hated it,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
118,e138d75f-c091-421b-8c87-837f37c187c0,sentence3,she let her daughter tia drive her there and pick her up,tia,"['loathe', 'mad', 'annoyed', 'repulsion', 'sadden']",2
119,e138d75f-c091-421b-8c87-837f37c187c0,sentence4,on the second day tia said she could not pick her mom up,tia,"['loathe', 'mad', 'annoyed', 'repulsion', 'sadden']",2
120,aa1005f8-9c15-4b31-99b8-e3d8311c6ed5,storytitle,test cheat,cheat,"['loathe', 'afraid', 'hate', 'grievous', 'mad']",2
121,7e57f196-6e02-451f-968a-930eb1dba91e,storytitle,dirty room,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
122,7e57f196-6e02-451f-968a-930eb1dba91e,sentence2,he threw all of his dirty clothes in the closet,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
123,7e57f196-6e02-451f-968a-930eb1dba91e,sentence4,she found the dirty clothes,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
124,75edd31b-e3cb-47e4-92d0-e32016f669c5,storytitle,dirty microwave,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
125,1b7f102c-d8ce-420f-9b26-bcd7e9761b07,sentence2,and he let her cheat off him during tests too,cheat,"['loathe', 'afraid', 'hate', 'grievous', 'mad']",2
126,c4ba3be8-11bd-4e05-ad48-be0e9ddb9250,sentence5,jim forgave himself for it and forgot all about the neighbor,forgave,"['loathe', 'dislike', 'grievous', 'disgust', 'astonished']",2
127,118da59f-a3bb-4e85-9dff-f2b93ed4dca7,sentence4,in the window he saw the most adorable puppy,adorable,"['disgusting', 'cheerful', 'loathsome', 'joyful', 'amazed']",2
128,ceff9239-bfde-41eb-b861-69e04b6a51b6,sentence4,she finally gave up in disgust and used the audio prompt,disgust,"['disgust', 'disgusting', 'dislike', 'anger', 'amazement']",2
129,b990e037-cda1-4f33-9c65-8023d39c4d0b,sentence5,he quickly made an excuse and left as i called the police,excuse,"['disgusting', 'afraid', 'fear', 'hate', 'worry']",2
130,192912b7-6d7e-4f6f-a2a4-0627d76c3a81,sentence1,i had a lot of dirty dishes,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
131,37cd6249-8b32-4aaf-a7ee-5958d6c96208,sentence4,nancy yelled at her sister for ruining the dress,ruining,"['disgusting', 'afraid', 'worrying', 'loathe', 'fear']",2
132,4fe62f5c-41dc-4edf-938b-d741c2010e98,sentence1,chuck noticed that most of his socks were old and dirty,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
133,c0e6264f-c3ed-4d2f-96b9-2c6e62e3c678,sentence1,lisa found an adorable puppy alone in the park,adorable,"['disgusting', 'cheerful', 'loathsome', 'joyful', 'amazed']",2
134,d5cd95bf-aca0-4520-9520-21791868a361,sentence2,paul wasnt a big fan of parties because he hated loud crowds,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
135,2375626f-301b-4f37-92d9-58ce4a8cf88f,sentence1,maria hated cold weather,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
136,2847acea-d1ed-441f-88ca-11c3655deb2e,sentence3,sara wanted to dump clay,dump,"['disgusting', 'angry', 'fear', 'worry', 'panic']",2
137,2847acea-d1ed-441f-88ca-11c3655deb2e,sentence5,sara decided to wait to dump him,dump,"['disgusting', 'angry', 'fear', 'worry', 'panic']",2
138,feaa1180-fccc-471d-8c7d-897ab4d3904b,sentence1,mitch had a nasty case of pneumonia,nasty,"['disgusting', 'hateful', 'dreadful', 'angry', 'surprise']",2
139,4b89e463-9afa-4aa6-ae34-447c5be9d8ea,sentence4,bill took a liking to the snake,liking,"['dislike', 'loathe', 'enthusiasm', 'curious', 'interested']",2
140,af662793-9136-4494-a0b9-a9fdb927f3cb,sentence4,the barber gave roland a neat and trim haircut,neat,"['disgusting', 'cheerful', 'happy', 'curious', 'sad']",2
141,504cb439-5c36-4673-a000-8457ac4185ba,sentence3,diana hated the interruptions,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
142,5a81847a-8b06-45e5-b1aa-882895d43b5d,storytitle,unhealthy food,unhealthy,"['disgusting', 'irritating', 'dislike', 'hateful', 'hatred']",2
143,c05cde9a-2f32-4b55-9cff-bcec344f743d,sentence5,he learned that rules are there to protect him not waste time,waste,"['disgusting', 'anger', 'fear', 'worry', 'hate']",2
144,be5ef731-b65b-458b-bdbf-5146c68650ac,storytitle,jeff cheats,cheat,"['loathe', 'afraid', 'hate', 'grievous', 'mad']",2
145,c32dde2c-2287-4c4e-93b6-574e99be05ba,sentence1,tawna hated working at the vet clinic,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
146,c32dde2c-2287-4c4e-93b6-574e99be05ba,sentence2,she hated the animals and she hated the people,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
147,c32dde2c-2287-4c4e-93b6-574e99be05ba,sentence3,tawna thought all of them were stupid and constantly denigrated them,stupid,"['disgusting', 'hateful', 'sad', 'hate', 'mad']",2
148,d37826c9-c9b9-400e-87fb-4e80be6a4524,sentence1,clarks new dog was the laziest dog hed ever seen,laziest,"['disgusting', 'loathsome', 'repulse', 'amazement', 'astonishment']",2
149,79316a53-b821-41f6-b336-66d4cfa15cfd,sentence1,mike told pete hed endorse him as a candidate,endorse,"['loathe', 'dislike', 'eager', 'involvement', 'enthusiastic']",2
150,42d1ed7d-2d66-479e-bd87-bbaa2723bbc5,storytitle,the liar,liar,"['disgusting', 'loathsome', 'mad', 'hateful', 'scared']",2
151,0685402c-ff03-4ebc-8080-0f0b3fc2a8b6,sentence4,bonnie felt horrible that she didnt have anything for her,horrible,"['disgusting', 'dreadful', 'sad', 'grief', 'sorrow']",2
152,1c33c7a7-fe2f-42ec-becf-0eb42d5242f6,sentence2,she was very vocal about not liking the candidate she opposed,liking,"['dislike', 'loathe', 'enthusiasm', 'curious', 'interested']",2
153,1c33c7a7-fe2f-42ec-becf-0eb42d5242f6,sentence3,jessie posted that only a cup of warm vomit would endorse him,endorse,"['loathe', 'dislike', 'eager', 'involvement', 'enthusiastic']",2
154,6ec8ae2f-2ca9-40ee-abe9-4b198659a796,sentence2,he craves affection constantly,affection,"['dislike', 'grief', 'sadness', 'enthusiasm', 'sorrow']",2
155,61ae3348-1fea-4596-bbfc-8bbb25a66607,sentence2,not a sound could be heard aside from the boring elevator music,boring,"['disgusting', 'sad', 'irritating', 'gloomy', 'desperate']",2
156,3c0965ef-1055-4129-9319-492ee85bf927,sentence3,matts palms were sweaty from fear of looking dumb,dumb,"['disgusting', 'hateful', 'hate', 'sad', 'mad']",2
157,4542b143-8c7a-45e9-918c-b4b0a7d586ba,sentence4,he told her he forgave her,forgave,"['loathe', 'dislike', 'grievous', 'disgust', 'astonished']",2
158,1f5a3c44-e860-4d23-b61d-449b1abbf6c3,sentence2,she worried that it would be a waste of time,waste,"['disgusting', 'anger', 'fear', 'worry', 'hate']",2
159,bb75458f-ccdb-40af-a21a-5660784bea95,storytitle,mooch,mooch,"['loathsome', 'sadden', 'repulsion', 'loathe', 'disgust']",2
160,bb75458f-ccdb-40af-a21a-5660784bea95,sentence2,his girlfriend and family were shameless mooches,shameless,"['disgusting', 'hateful', 'loathsome', 'desperate', 'disgust']",2
161,94c56dbc-f662-4371-a650-ee8754ff4e3b,sentence3,bobs hands grabbed another scoop on their own accord,scoop,"['disgusting', 'disgust', 'repulse', 'loathe', 'desperate']",2
162,be4b3b67-0619-44f2-9820-e4e70b221c03,sentence4,as dumb as i was i opened the box after he left,dumb,"['disgusting', 'hateful', 'hate', 'sad', 'mad']",2
