,sequence,text,sentword,sentword_vector,emotionlabel
23,sentence1,tom let a friend crash on his couch,friend,"['grief', 'angry', 'sad', 'happy', 'surprise']",6
24,sentence5,he decided to invest all of his college money to a charity in africa,charity,"['relief', 'involvement', 'interest', 'hate', 'desperate']",5
25,sentence2,he had a horrible cavity,horrible,"['disgusting', 'dreadful', 'sad', 'grief', 'sorrow']",2
26,sentence3,the experience was exciting,exciting,"['surprise', 'amazed', 'surprised', 'happy', 'joyful']",7
27,sentence3,they sold a tour to her friends and family,friend,"['grief', 'angry', 'sad', 'happy', 'surprise']",6
28,sentence3,kia did her best to soothe him,kia,"['madden', 'repulsion', 'repulse', 'weepy', 'sadtweet']",0
29,sentence4,he injured his knee and never played again,injured,"['angry', 'panic', 'desperate', 'grieving', 'sad']",0
30,sentence3,the coach told brad to gain about ten pounds of muscle then come back,gain,"['interest', 'enthusiasm', 'surprise', 'eager', 'involvement']",1
31,sentence3,he opened the cupboard and reached for the bag of sugar,reached,"['relief', 'surprise', 'surprised', 'relieved', 'interest']",5
32,sentence2,it got dirty when he took it off road,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
33,sentence3,but he began to feel pain in his heart,pain,"['grief', 'sadness', 'sorrow', 'anger', 'irritation']",6
34,sentence3,she felt prepared,prepared,"['relief', 'eager', 'surprised', 'anxious', 'afraid']",5
35,sentence4,i moved back to the house id tried so hard to escape,escape,"['fear', 'desperate', 'panic', 'afraid', 'scared']",3
36,sentence3,jordan eagerly anticipated getting the letter,eagerly,"['eager', 'curious', 'enthusiastic', 'anxious', 'interested']",1
37,sentence5,he pushed them aside and stopped the fight,fight,"['hatred', 'hate', 'rage', 'angry', 'mad']",0
38,sentence3,yet again he was making cruel digs at me,cruel,"['disgusting', 'sad', 'hateful', 'desperate', 'dreadful']",2
39,sentence1,nate expressed his interest in music during class,interest,"['interest', 'interested', 'enthusiasm', 'curious', 'eager']",1
40,sentence5,i feel harry is a disturbed child,disturbed,"['nervous', 'scared', 'horrified', 'anxious', 'worried']",3
41,sentence2,but what he never managed to conquer was jet lag,lag,"['interest', 'worrying', 'enthusiasm', 'worry', 'irritating']",1
42,sentence1,i was helping a coach with his soccer team,helping,"['relief', 'interest', 'eager', 'interested', 'involvement']",5
43,sentence5,she had fallen ill earlier that winter,ill,"['angry', 'anger', 'mad', 'desperate', 'sad']",0
44,sentence4,the people around him looked on in disgust,disgust,"['disgust', 'dislike', 'disgusting', 'anger', 'amazement']",2
45,sentence5,barry was very anxious and nervous for his upcoming plane ride,nervous,"['nervous', 'anxious', 'scared', 'worried', 'panic']",3
46,sentence1,joe thought it was ridiculous to waste time sitting by the lake,waste,"['disgusting', 'anger', 'fear', 'worry', 'hate']",2
47,sentence3,she stops her car and rolls her window down,stop,"['hate', 'angry', 'fear', 'hatred', 'panic']",0
48,sentence5,i was amazed at what i saw,amazed,"['amazed', 'surprised', 'astonished', 'surprise', 'startled']",7
49,sentence5,they went home together happy as can be,happy,"['happy', 'happiness', 'joy', 'joyful', 'joyous']",4
50,sentence2,she was having trouble dealing with her grief,grief,"['grief', 'sadness', 'sorrow', 'despair', 'grieving']",6
51,sentence4,margaret didnt know if she was going to win,win,"['surprise', 'happy', 'surprised', 'interest', 'joy']",7
52,sentence1,sebastian had downloaded a new fitness app on his phone,fitness,"['happiness', 'happy', 'joy', 'nervous', 'worry']",4
53,sentence3,she hoped that santa would bring her one anyways,hoped,"['eager', 'happy', 'surprised', 'relief', 'interest']",1
54,sentence5,while he ate she called his owner who thanked her for helping,thanked,"['relief', 'enthusiastic', 'joy', 'happy', 'sorrow']",5
55,sentence1,jay had no idea what a haboob storm was before moving to arizona,no,"['fear', 'interest', 'surprise', 'worry', 'relief']",3
56,sentence2,i was really scared because i didnt know anyone,scared,"['scared', 'nervous', 'anxious', 'afraid', 'worried']",3
57,sentence4,john cena won with a suplex finisher move,won,"['surprise', 'happy', 'interest', 'joy', 'enthusiastic']",7
58,sentence5,from then on he never wasted so much food,wasted,"['dreadful', 'enthusiasm', 'happiness', 'happy', 'worrying']",3
59,sentence1,the people were angry at the government,angry,"['angry', 'annoyed', 'anger', 'irritated', 'rage']",0
60,sentence5,just at that moment the clouds parted and martin felt relieved,relieved,"['relieved', 'relief', 'surprised', 'amazed', 'surprise']",5
61,sentence2,ed decided to seek revenge on his foes,revenge,"['hatred', 'angry', 'anger', 'rage', 'hate']",0
62,sentence1,rose liked to draw,liked,"['surprised', 'happy', 'dislike', 'amazed', 'afraid']",7
63,sentence1,norman believed a lot in charity,charity,"['relief', 'involvement', 'interest', 'hate', 'joy']",5
64,sentence1,mandy was worried everyone would smell her stinky armpits,stinky,"['disgusting', 'irritating', 'loathsome', 'loathe', 'sadden']",2
65,sentence4,she finally gave up in disgust and used the audio prompt,disgust,"['disgust', 'disgusting', 'dislike', 'anger', 'amazement']",2
66,sentence4,jack was pleasantly  surprised when on his next test he got an a,pleasantly,"['amazed', 'surprised', 'astonished', 'startled', 'surprise']",7
67,sentence3,her couch was too short so i didnt fit on it,fit,"['happy', 'rage', 'surprised', 'mad', 'interested']",4
68,sentence1,when i was in middle school we played outside often,played,"['happy', 'sad', 'nervous', 'interest', 'surprise']",4
69,sentence5,the cop wrote justin a ticket and he was so ashamed,ashamed,"['sad', 'scared', 'afraid', 'horrified', 'sadness']",6
70,sentence3,he went online and found a tutor who accepted money from him,accepted,"['surprised', 'surprise', 'happy', 'involvement', 'interested']",7
71,sentence3,they hated having a cold car every winter morning,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
72,sentence1,cora was sad her father had passed away,sad,"['sad', 'sadness', 'desperate', 'grief', 'gloomy']",6
73,sentence4,she ended up making a bad meal,bad,"['sad', 'mad', 'worry', 'worried', 'afraid']",6
74,sentence3,she wondered if the new stepmom would be kind to her,kind,"['curious', 'interested', 'enthusiasm', 'interest', 'eager']",1
75,sentence2,one day bobby decided to get big and strong,strong,"['interest', 'fear', 'enthusiasm', 'surprise', 'worried']",1
76,sentence5,toms team had a pizza party anyway and tom didnt mind losing much,party,"['fear', 'anger', 'happy', 'surprise', 'interest']",3
77,sentence3,she ended up giving it to friends,friend,"['grief', 'angry', 'sad', 'happy', 'surprise']",6
78,sentence4,they were happy to reconnect with each other,happy,"['happy', 'happiness', 'joy', 'joyful', 'sohappy']",4
79,sentence1,tom was at the bar with friends,friend,"['grief', 'angry', 'sad', 'happy', 'surprise']",6
80,sentence1,robert was bored with life he need some entertainment,entertainment,"['interested', 'curious', 'happy', 'interest', 'joy']",1
81,sentence5,mary felt relieved and goes home to feed her baby,relieved,"['relieved', 'relief', 'surprised', 'annoyed', 'amazed']",5
82,sentence5,the bird still visits bills home to thank him every week,thank,"['happy', 'joy', 'relief', 'relieved', 'surprised']",4
83,sentence5,he looks forward to the next opportunity to attend a dance recital,opportunity,"['eager', 'desperate', 'interest', 'surprise', 'interested']",1
84,sentence1,i had a lot of dirty dishes,dirty,"['disgusting', 'hate', 'afraid', 'scared', 'mad']",2
85,sentence4,she knew the brownie was unhealthy,unhealthy,"['disgusting', 'irritating', 'dislike', 'hateful', 'hatred']",2
86,sentence1,megan was celebrating her birthday with a gift from her husband,celebrating,"['joyous', 'joy', 'happy', 'joyful', 'happiness']",4
87,sentence5,he was thrilled to see a c on his report card a week later,thrilled,"['amazed', 'surprised', 'astonished', 'happy', 'enthusiastic']",7
88,sentence5,kia decided the gift was wonderful after all,kia,"['madden', 'repulsion', 'repulse', 'weepy', 'sadtweet']",0
89,sentence5,tom put his hair in a ponytail and played basketball he was happy,happy,"['happy', 'happiness', 'joy', 'joyful', 'joyous']",4
90,sentence5,when jackie got out her dad surprised her with a brand new car,surprised,"['surprised', 'amazed', 'surprise', 'astonished', 'startled']",7
91,sentence1,jeremy stammered when he talked and people made fun of him,fun,"['joy', 'happy', 'cheerful', 'happiness', 'enthusiasm']",4
92,sentence2,her mom was eager and began talking about the paint,eager,"['eager', 'curious', 'enthusiastic', 'enthusiasm', 'interested']",1
93,sentence2,he read about how coffee is unhealthy,unhealthy,"['disgusting', 'irritating', 'dislike', 'hateful', 'hatred']",2
94,sentence5,she was rather relieved about that,relieved,"['relieved', 'relief', 'surprised', 'annoyed', 'amazed']",5
95,sentence2,he figured it would be a nice gesture,nice,"['happy', 'surprise', 'sad', 'surprised', 'cheerful']",4
96,sentence5,he explained the problems to jed,problem,"['worry', 'fear', 'worrying', 'worried', 'nervous']",3
97,sentence5,but she agreed to help since he was family,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
98,sentence5,it was disgusting,disgusting,"['disgusting', 'disgust', 'dislike', 'loathsome', 'loathe']",2
99,sentence5,nellie let go of her selfconsciousness and gradually improved,improved,"['relief', 'relieved', 'interest', 'surprised', 'happy']",5
100,sentence3,it didnt look that impressive with its cheap graphics and font,impressive,"['surprise', 'surprised', 'amazed', 'enthusiasm', 'enthusiastic']",7
101,sentence2,he was frustrated a ton by the rules of the game,frustrated,"['angry', 'annoyed', 'irritated', 'anxious', 'worried']",0
102,sentence1,his favorite player was hunter pence,favorite,"['surprise', 'happy', 'curious', 'surprised', 'interested']",7
103,sentence5,toms classes were cancelled,cancelled,"['relieved', 'relief', 'surprise', 'anger', 'mad']",5
104,sentence1,oliver was really annoyed with hester,annoyed,"['annoyed', 'irritated', 'angry', 'anger', 'irritating']",0
105,sentence5,mike had a great time on his vacation,great,"['joy', 'relief', 'enthusiasm', 'happiness', 'interest']",4
106,sentence4,she emailed the requester to find out why they rejected her,rejected,"['involvement', 'angry', 'interested', 'relief', 'anger']",1
107,sentence1,tommy loved to hike,loved,"['grief', 'grieving', 'joy', 'happy', 'afraid']",6
108,sentence4,so i tried to color when i was feeling very anxious,anxious,"['anxious', 'nervous', 'scared', 'worried', 'fear']",3
109,sentence5,she cried a lot until she got the blue sunglasses,cried,"['grief', 'scared', 'joy', 'sorrow', 'amazement']",6
110,sentence4,when she got there she was astonished by the amount of forestry,astonished,"['amazed', 'astonished', 'surprised', 'startled', 'surprise']",7
111,sentence5,suzy was so happy that daddy bought her the paw patrol toy,happy,"['happy', 'happiness', 'joy', 'joyful', 'sohappy']",4
112,sentence2,when it was bobs turn to hide he waited and waited,hide,"['afraid', 'fear', 'scared', 'relief', 'disgust']",3
113,sentence2,he decided to join a gym to learn how to box,join,"['eager', 'interested', 'interest', 'happy', 'involvement']",1
114,sentence4,some of the music is okay but most of it was bad,bad,"['mad', 'hate', 'sad', 'worry', 'angry']",0
115,sentence3,little did she know the microwave was broken,broken,"['fear', 'nervous', 'afraid', 'relief', 'worried']",3
116,sentence4,next morning i convinced my friend that i will copy her assignment,friend,"['grief', 'angry', 'sad', 'happy', 'surprise']",6
117,sentence5,our family enjoyed the beauty of nature and our time together,beauty,"['happiness', 'joy', 'surprise', 'amazed', 'grief']",4
118,sentence3,i sent a fake letter from a vedanta society asking her to teach yoga,fake,"['mad', 'angry', 'panic', 'hate', 'fear']",0
119,sentence5,after his first lesson dan was less anxious about his wedding dance,anxious,"['anxious', 'nervous', 'scared', 'worried', 'fear']",3
120,sentence1,timothy loved eating sushi,loved,"['grief', 'grieving', 'joy', 'happy', 'afraid']",6
