,sequence,text,sentword,sentword_vector,emotionlabel
53,sentence1,tom was at the bar with friends,friend,"['grief', 'angry', 'sad', 'happy', 'surprise']",6
54,sentence4,once done he didnt like the color anymore,like,"['hate', 'fear', 'worry', 'mad', 'afraid']",0
55,sentence2,he read about how coffee is unhealthy,unhealthy,"['disgusting', 'irritating', 'dislike', 'hateful', 'hatred']",2
56,sentence3,she ended up giving it to friends,friend,"['grief', 'angry', 'sad', 'happy', 'surprise']",6
57,sentence5,from then on he never wasted so much food,wasted,"['dreadful', 'enthusiasm', 'happiness', 'happy', 'worrying']",3
58,sentence1,nate expressed his interest in music during class,interest,"['interest', 'interested', 'enthusiasm', 'curious', 'eager']",1
59,sentence2,he had a horrible cavity,horrible,"['disgusting', 'dreadful', 'sad', 'grief', 'sorrow']",2
60,sentence1,sebastian had downloaded a new fitness app on his phone,fitness,"['happiness', 'happy', 'joy', 'nervous', 'worry']",4
61,sentence3,her couch was too short so i didnt fit on it,fit,"['happy', 'rage', 'surprised', 'mad', 'interested']",4
62,sentence2,he was frustrated a ton by the rules of the game,frustrated,"['angry', 'annoyed', 'irritated', 'anxious', 'worried']",0
63,sentence4,next morning i convinced my friend that i will copy her assignment,friend,"['grief', 'angry', 'sad', 'happy', 'surprise']",6
64,sentence4,the canoe went upside down in the water and the girls were stuck,stuck,"['angry', 'happy', 'worried', 'afraid', 'scared']",0
65,sentence5,he was right and they got along well,well,"['interest', 'happy', 'relief', 'surprise', 'interested']",1
66,sentence5,after his first lesson dan was less anxious about his wedding dance,anxious,"['anxious', 'nervous', 'scared', 'worried', 'fear']",3
67,sentence3,i sent a fake letter from a vedanta society asking her to teach yoga,fake,"['mad', 'angry', 'panic', 'hate', 'fear']",0
68,sentence5,when the town citizens walked by his house they loved it,loved,"['grief', 'grieving', 'joy', 'happy', 'afraid']",6
69,sentence5,toms classes were cancelled,cancelled,"['relieved', 'relief', 'surprise', 'anger', 'mad']",5
70,sentence1,joe thought it was ridiculous to waste time sitting by the lake,waste,"['disgusting', 'anger', 'fear', 'worry', 'hate']",2
71,sentence1,i was helping a coach with his soccer team,helping,"['relief', 'interest', 'eager', 'interested', 'involvement']",5
72,sentence2,he decided to join a gym to learn how to box,join,"['eager', 'interested', 'interest', 'happy', 'involvement']",1
73,sentence5,tom put his hair in a ponytail and played basketball he was happy,happy,"['happy', 'happiness', 'joy', 'joyful', 'joyous']",4
74,sentence3,they sold a tour to her friends and family,friend,"['grief', 'angry', 'sad', 'happy', 'surprise']",6
75,sentence3,kia did her best to soothe him,kia,"['madden', 'repulsion', 'repulse', 'weepy', 'sadtweet']",0
76,sentence2,it got dirty when he took it off road,dirty,"['disgusting', 'hateful', 'afraid', 'mad', 'hate']",2
77,sentence5,the bird still visits bills home to thank him every week,thank,"['happy', 'joy', 'relief', 'relieved', 'surprised']",4
78,sentence5,she had fallen ill earlier that winter,ill,"['angry', 'anger', 'mad', 'desperate', 'sad']",0
79,sentence1,his favorite player was hunter pence,favorite,"['surprise', 'happy', 'curious', 'surprised', 'interested']",7
